,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[10232, 0]",5.414,0.081,5.271,5.575,0.001,0.001,3887.0,1274.0,1.0
"mu[10232, 1]",23.065,0.873,21.425,24.733,0.013,0.009,4473.0,1380.0,1.0
"mu[10232, 2]",51.448,1.16,49.153,53.554,0.02,0.014,3436.0,1485.0,1.0
"mu[10233, 0]",5.441,0.081,5.289,5.593,0.001,0.001,4163.0,1306.0,1.0
"mu[10233, 1]",22.809,0.878,21.242,24.48,0.013,0.009,4358.0,1308.0,1.0
"mu[10233, 2]",50.673,1.212,48.292,52.883,0.019,0.013,4099.0,1506.0,1.0
"mu[10234, 0]",5.275,0.082,5.127,5.432,0.001,0.001,4144.0,1158.0,1.0
"mu[10234, 1]",21.41,0.874,19.791,23.116,0.013,0.009,4699.0,1228.0,1.0
"mu[10234, 2]",49.788,1.195,47.585,52.09,0.02,0.014,3591.0,1564.0,1.0
"mu[10235, 0]",6.0,0.081,5.854,6.149,0.001,0.001,4016.0,1356.0,1.0
"mu[10235, 1]",24.518,0.868,22.799,26.044,0.014,0.01,4131.0,1301.0,1.0
"mu[10235, 2]",44.389,1.119,42.45,46.662,0.018,0.013,3695.0,1676.0,1.0
"mu[10236, 0]",6.094,0.08,5.941,6.242,0.001,0.001,4081.0,1322.0,1.0
"mu[10236, 1]",22.4,0.871,20.656,23.945,0.014,0.01,4168.0,1253.0,1.0
"mu[10236, 2]",46.41,1.17,44.092,48.488,0.019,0.014,3662.0,1428.0,1.0
"mu[10237, 0]",6.116,0.081,5.963,6.261,0.001,0.001,3969.0,1363.0,1.0
"mu[10237, 1]",23.807,0.877,22.181,25.488,0.014,0.01,4243.0,1343.0,1.0
"mu[10237, 2]",49.649,1.178,47.52,51.843,0.019,0.014,3835.0,1337.0,1.0
"mu[10238, 0]",6.147,0.082,5.999,6.301,0.001,0.001,3742.0,1379.0,1.0
"mu[10238, 1]",23.583,0.881,21.874,25.198,0.013,0.009,4505.0,1260.0,1.0
"mu[10238, 2]",48.748,1.181,46.434,50.872,0.019,0.014,3717.0,1325.0,1.0
"mu[10239, 0]",5.963,0.081,5.817,6.112,0.001,0.001,3869.0,1412.0,1.0
"mu[10239, 1]",22.331,0.882,20.602,23.922,0.014,0.01,3908.0,1296.0,1.0
"mu[10239, 2]",48.507,1.186,46.441,50.774,0.018,0.013,4212.0,1752.0,1.0
"mu[10240, 0]",3.793,0.079,3.646,3.943,0.001,0.001,3323.0,1419.0,1.0
"mu[10240, 1]",24.896,0.874,23.232,26.453,0.014,0.01,4178.0,1483.0,1.0
"mu[10240, 2]",46.641,1.066,44.681,48.648,0.017,0.012,4018.0,1488.0,1.0
"mu[10241, 0]",3.914,0.079,3.772,4.068,0.001,0.001,3378.0,1342.0,1.0
"mu[10241, 1]",22.71,0.877,21.05,24.279,0.014,0.01,4063.0,1426.0,1.0
"mu[10241, 2]",48.715,1.094,46.652,50.763,0.016,0.011,4731.0,1595.0,1.0
"mu[10242, 0]",3.933,0.08,3.783,4.082,0.001,0.001,3484.0,1447.0,1.0
"mu[10242, 1]",24.171,0.878,22.527,25.758,0.013,0.009,4348.0,1473.0,1.0
"mu[10242, 2]",51.609,1.098,49.351,53.558,0.017,0.012,4187.0,1595.0,1.0
"mu[10243, 0]",3.953,0.079,3.796,4.095,0.001,0.001,3716.0,1328.0,1.0
"mu[10243, 1]",23.883,0.878,22.235,25.457,0.013,0.009,4391.0,1465.0,1.0
"mu[10243, 2]",50.856,1.076,48.724,52.736,0.016,0.012,4344.0,1744.0,1.0
"mu[10244, 0]",3.778,0.079,3.625,3.921,0.001,0.001,3546.0,1485.0,1.0
"mu[10244, 1]",22.785,0.871,21.141,24.382,0.013,0.009,4492.0,1615.0,1.0
"mu[10244, 2]",50.308,1.094,48.469,52.452,0.019,0.013,3382.0,1715.0,1.0
"mu[10245, 0]",7.182,0.078,7.04,7.341,0.001,0.001,4031.0,1640.0,1.0
"mu[10245, 1]",25.988,0.865,24.355,27.543,0.013,0.009,4329.0,1126.0,1.0
"mu[10245, 2]",45.398,1.064,43.586,47.615,0.017,0.012,3658.0,1231.0,1.0
"mu[10246, 0]",7.275,0.078,7.126,7.429,0.001,0.001,4042.0,1763.0,1.0
"mu[10246, 1]",23.625,0.876,21.996,25.243,0.013,0.009,4502.0,1209.0,1.0
"mu[10246, 2]",47.9,1.132,45.815,50.056,0.019,0.013,3721.0,1379.0,1.0
"mu[10247, 0]",7.307,0.078,7.159,7.461,0.001,0.001,4108.0,1698.0,1.0
"mu[10247, 1]",25.032,0.867,23.432,26.594,0.012,0.009,4798.0,1372.0,1.0
"mu[10247, 2]",51.038,1.151,48.869,53.12,0.02,0.014,3190.0,1466.0,1.0
"mu[10248, 0]",7.333,0.078,7.191,7.49,0.001,0.001,4197.0,1753.0,1.0
"mu[10248, 1]",24.776,0.864,23.151,26.364,0.013,0.009,4435.0,1282.0,1.0
"mu[10248, 2]",50.264,1.147,48.042,52.254,0.019,0.014,3599.0,1392.0,1.01
"mu[10249, 0]",7.168,0.079,7.027,7.327,0.001,0.001,4115.0,1723.0,1.0
"mu[10249, 1]",23.378,0.87,21.762,24.976,0.013,0.009,4706.0,1241.0,1.0
"mu[10249, 2]",49.379,1.162,47.165,51.563,0.019,0.013,3862.0,1326.0,1.0
"mu[10250, 0]",5.067,0.081,4.901,5.21,0.001,0.001,3861.0,1447.0,1.0
"mu[10250, 1]",25.722,0.904,24.121,27.443,0.013,0.009,5291.0,1390.0,1.0
"mu[10250, 2]",47.038,1.087,45.015,49.044,0.016,0.011,4462.0,1513.0,1.0
"mu[10251, 0]",5.132,0.081,4.964,5.272,0.001,0.001,3982.0,1374.0,1.0
"mu[10251, 1]",24.188,0.912,22.642,26.058,0.012,0.009,5665.0,1373.0,1.0
"mu[10251, 2]",49.523,1.163,47.374,51.689,0.018,0.013,4232.0,1507.0,1.0
"mu[10252, 0]",5.16,0.081,5.005,5.316,0.001,0.001,4017.0,1368.0,1.0
"mu[10252, 1]",25.805,0.912,24.195,27.548,0.013,0.009,5356.0,1395.0,1.0
"mu[10252, 2]",52.962,1.152,50.925,55.183,0.017,0.012,4334.0,1585.0,1.0
"mu[10253, 0]",5.204,0.081,5.05,5.356,0.001,0.001,4019.0,1211.0,1.0
"mu[10253, 1]",25.257,0.912,23.63,26.994,0.012,0.009,5605.0,1285.0,1.0
"mu[10253, 2]",52.014,1.161,49.94,54.333,0.017,0.012,4629.0,1781.0,1.0
"mu[10254, 0]",5.024,0.082,4.868,5.177,0.001,0.001,4112.0,1454.0,1.0
"mu[10254, 1]",24.281,0.914,22.571,25.957,0.012,0.009,5573.0,1337.0,1.0
"mu[10254, 2]",51.521,1.207,49.165,53.686,0.017,0.012,4763.0,1562.0,1.0
"mu[10255, 0]",4.582,0.081,4.426,4.729,0.001,0.001,4888.0,1568.0,1.0
"mu[10255, 1]",24.192,0.855,22.587,25.776,0.013,0.009,4038.0,1256.0,1.0
"mu[10255, 2]",44.363,1.13,42.195,46.475,0.019,0.014,3436.0,1345.0,1.0
"mu[10256, 0]",4.676,0.081,4.514,4.818,0.001,0.001,4925.0,1487.0,1.0
"mu[10256, 1]",22.073,0.845,20.506,23.708,0.013,0.009,4532.0,1255.0,1.0
"mu[10256, 2]",46.384,1.221,44.009,48.564,0.02,0.014,3801.0,1385.0,1.0
"mu[10257, 0]",4.698,0.081,4.557,4.864,0.001,0.001,4918.0,1367.0,1.0
"mu[10257, 1]",23.481,0.854,21.896,25.101,0.014,0.01,3787.0,1206.0,1.0
"mu[10257, 2]",49.622,1.251,47.16,51.869,0.02,0.015,3808.0,1207.0,1.0
"mu[10258, 0]",4.729,0.081,4.581,4.884,0.001,0.001,4659.0,1473.0,1.0
"mu[10258, 1]",23.256,0.853,21.67,24.832,0.013,0.009,4252.0,1442.0,1.0
"mu[10258, 2]",48.722,1.202,46.448,50.904,0.018,0.013,4427.0,1476.0,1.0
"mu[10259, 0]",4.544,0.082,4.383,4.687,0.001,0.001,5071.0,1470.0,1.0
"mu[10259, 1]",22.004,0.856,20.44,23.641,0.013,0.009,4113.0,1287.0,1.01
"mu[10259, 2]",48.481,1.21,46.358,50.855,0.018,0.013,4746.0,1296.0,1.0
"mu[10260, 0]",4.207,0.08,4.061,4.366,0.001,0.001,3883.0,1126.0,1.0
"mu[10260, 1]",22.943,0.895,21.377,24.826,0.015,0.011,3616.0,1221.0,1.0
"mu[10260, 2]",46.455,1.056,44.559,48.533,0.019,0.014,3047.0,1428.0,1.0
"mu[10261, 0]",4.328,0.08,4.178,4.482,0.001,0.001,4018.0,948.0,1.0
"mu[10261, 1]",20.758,0.904,19.075,22.536,0.014,0.01,4317.0,1154.0,1.0
"mu[10261, 2]",48.529,1.084,46.524,50.522,0.02,0.014,2855.0,1575.0,1.0
"mu[10262, 0]",4.347,0.081,4.19,4.494,0.001,0.001,3739.0,1025.0,1.0
"mu[10262, 1]",22.218,0.903,20.538,23.995,0.015,0.01,3898.0,1151.0,1.0
"mu[10262, 2]",51.424,1.099,49.352,53.393,0.02,0.014,2964.0,1407.0,1.0
"mu[10263, 0]",4.367,0.08,4.219,4.52,0.001,0.001,3887.0,1187.0,1.0
"mu[10263, 1]",21.93,0.898,20.276,23.726,0.014,0.01,3856.0,1181.0,1.0
"mu[10263, 2]",50.67,1.106,48.739,52.867,0.02,0.014,3035.0,1579.0,1.0
"mu[10264, 0]",4.192,0.08,4.037,4.34,0.001,0.001,4121.0,1016.0,1.0
"mu[10264, 1]",20.832,0.898,19.248,22.713,0.014,0.01,4272.0,1206.0,1.0
"mu[10264, 2]",50.122,1.087,48.197,52.276,0.02,0.014,2867.0,1433.0,1.0
"mu[10265, 0]",6.394,0.078,6.252,6.55,0.001,0.001,5047.0,1182.0,1.0
"mu[10265, 1]",24.712,0.922,23.04,26.531,0.015,0.011,3809.0,1227.0,1.0
"mu[10265, 2]",46.578,1.094,44.489,48.615,0.016,0.011,4675.0,1695.0,1.0
"mu[10266, 0]",6.458,0.079,6.32,6.619,0.001,0.001,5069.0,1403.0,1.0
"mu[10266, 1]",23.177,0.919,21.402,24.929,0.016,0.011,3425.0,1213.0,1.0
"mu[10266, 2]",49.062,1.17,46.919,51.269,0.017,0.012,4804.0,1724.0,1.0
"mu[10267, 0]",6.487,0.078,6.335,6.633,0.001,0.001,4671.0,1460.0,1.0
"mu[10267, 1]",24.795,0.923,23.147,26.71,0.015,0.011,3682.0,1155.0,1.0
"mu[10267, 2]",52.502,1.172,50.319,54.728,0.017,0.012,4676.0,1343.0,1.0
"mu[10268, 0]",6.53,0.078,6.389,6.686,0.001,0.001,4682.0,1295.0,1.0
"mu[10268, 1]",24.246,0.918,22.522,25.982,0.016,0.011,3454.0,1193.0,1.0
"mu[10268, 2]",51.554,1.152,49.397,53.674,0.017,0.012,4799.0,1574.0,1.0
"mu[10269, 0]",6.35,0.079,6.199,6.501,0.001,0.001,4822.0,1348.0,1.0
"mu[10269, 1]",23.271,0.92,21.494,24.951,0.015,0.011,3771.0,1261.0,1.0
"mu[10269, 2]",51.061,1.191,48.974,53.419,0.017,0.012,5070.0,1427.0,1.0
"mu[10270, 0]",4.983,0.078,4.851,5.139,0.001,0.001,4061.0,1426.0,1.0
"mu[10270, 1]",25.007,0.897,23.348,26.663,0.013,0.009,4828.0,1014.0,1.0
"mu[10270, 2]",46.477,1.089,44.34,48.441,0.018,0.013,3573.0,1418.0,1.0
"mu[10271, 0]",5.047,0.079,4.895,5.192,0.001,0.001,3781.0,1422.0,1.0
"mu[10271, 1]",23.473,0.889,21.85,25.166,0.013,0.009,4988.0,1179.0,1.0
"mu[10271, 2]",48.962,1.212,46.728,51.368,0.019,0.013,4069.0,1614.0,1.0
"mu[10272, 0]",5.075,0.078,4.927,5.224,0.001,0.001,3923.0,1516.0,1.0
"mu[10272, 1]",25.091,0.891,23.297,26.651,0.013,0.009,4773.0,1335.0,1.0
"mu[10272, 2]",52.401,1.194,50.189,54.693,0.02,0.014,3652.0,1200.0,1.0
"mu[10273, 0]",5.119,0.078,4.978,5.268,0.001,0.001,3962.0,1493.0,1.0
"mu[10273, 1]",24.542,0.882,22.808,26.071,0.013,0.009,4763.0,1196.0,1.0
"mu[10273, 2]",51.453,1.197,49.006,53.532,0.019,0.014,3935.0,1415.0,1.0
"mu[10274, 0]",4.939,0.078,4.793,5.089,0.001,0.001,3821.0,1367.0,1.0
"mu[10274, 1]",23.566,0.887,21.969,25.3,0.013,0.009,4943.0,1004.0,1.0
"mu[10274, 2]",50.96,1.179,48.666,53.225,0.018,0.013,4323.0,1432.0,1.0
"mu[10275, 0]",3.419,0.08,3.276,3.572,0.002,0.001,2391.0,1211.0,1.0
"mu[10275, 1]",24.061,0.883,22.295,25.638,0.011,0.008,6602.0,1182.0,1.0
"mu[10275, 2]",45.28,1.08,43.166,47.223,0.015,0.011,5127.0,1716.0,1.0
"mu[10276, 0]",3.521,0.08,3.373,3.672,0.002,0.001,2462.0,1297.0,1.0
"mu[10276, 1]",21.146,0.88,19.639,22.958,0.011,0.008,6291.0,1152.0,1.0
"mu[10276, 2]",47.609,1.158,45.371,49.739,0.016,0.011,5437.0,1518.0,1.0
"mu[10277, 0]",3.546,0.08,3.398,3.694,0.002,0.001,2560.0,1191.0,1.0
"mu[10277, 1]",22.704,0.88,21.061,24.335,0.011,0.008,6202.0,1197.0,1.0
"mu[10277, 2]",50.844,1.154,48.702,53.05,0.016,0.011,5189.0,1577.0,1.0
"mu[10278, 0]",3.575,0.08,3.423,3.723,0.002,0.001,2579.0,1225.0,1.0
"mu[10278, 1]",22.428,0.88,20.776,24.075,0.011,0.008,6416.0,1442.0,1.0
"mu[10278, 2]",49.893,1.176,47.759,52.088,0.018,0.012,4459.0,1441.0,1.0
"mu[10279, 0]",3.384,0.08,3.235,3.534,0.002,0.001,2449.0,1334.0,1.0
"mu[10279, 1]",21.111,0.879,19.6,22.912,0.011,0.008,6602.0,1354.0,1.0
"mu[10279, 2]",49.39,1.186,47.187,51.521,0.016,0.011,5787.0,1487.0,1.0
"mu[10280, 0]",7.12,0.078,6.974,7.274,0.001,0.001,3887.0,1043.0,1.0
"mu[10280, 1]",23.875,0.893,22.181,25.55,0.012,0.008,5645.0,1478.0,1.0
"mu[10280, 2]",45.328,1.08,43.381,47.422,0.016,0.011,4627.0,1618.0,1.0
"mu[10281, 0]",7.214,0.078,7.061,7.353,0.001,0.001,3640.0,1085.0,1.0
"mu[10281, 1]",21.512,0.88,19.863,23.249,0.012,0.009,5347.0,1469.0,1.0
"mu[10281, 2]",47.83,1.126,45.761,49.839,0.017,0.012,4297.0,1721.0,1.0
"mu[10282, 0]",7.245,0.079,7.087,7.39,0.001,0.001,3689.0,1066.0,1.0
"mu[10282, 1]",22.919,0.884,21.247,24.599,0.012,0.008,5553.0,1560.0,1.0
"mu[10282, 2]",50.968,1.163,48.81,53.084,0.018,0.013,4002.0,1661.0,1.0
"mu[10283, 0]",7.272,0.08,7.126,7.434,0.001,0.001,3786.0,1035.0,1.0
"mu[10283, 1]",22.664,0.887,21.042,24.407,0.012,0.009,5429.0,1514.0,1.0
"mu[10283, 2]",50.194,1.177,47.923,52.344,0.017,0.012,4527.0,1228.0,1.0
"mu[10284, 0]",7.107,0.079,6.966,7.264,0.001,0.001,3594.0,1156.0,1.0
"mu[10284, 1]",21.265,0.879,19.668,23.008,0.012,0.008,5541.0,1452.0,1.0
"mu[10284, 2]",49.309,1.164,47.304,51.67,0.017,0.012,4888.0,1574.0,1.0
"mu[10285, 0]",6.29,0.079,6.133,6.44,0.001,0.001,4582.0,1401.0,1.0
"mu[10285, 1]",26.38,0.91,24.691,28.055,0.013,0.009,4721.0,1570.0,1.0
"mu[10285, 2]",44.648,1.119,42.554,46.747,0.019,0.013,3662.0,1626.0,1.0
"mu[10286, 0]",6.391,0.079,6.234,6.538,0.001,0.001,4166.0,1347.0,1.0
"mu[10286, 1]",23.465,0.925,21.739,25.197,0.014,0.01,4399.0,1465.0,1.0
"mu[10286, 2]",46.977,1.161,44.829,49.197,0.019,0.013,3775.0,1828.0,1.0
"mu[10287, 0]",6.416,0.079,6.265,6.564,0.001,0.001,4616.0,1418.0,1.0
"mu[10287, 1]",25.023,0.919,23.208,26.626,0.014,0.01,4352.0,1460.0,1.0
"mu[10287, 2]",50.213,1.17,47.903,52.295,0.018,0.013,4435.0,1719.0,1.0
"mu[10288, 0]",6.445,0.08,6.301,6.605,0.001,0.001,4079.0,1381.0,1.0
"mu[10288, 1]",24.748,0.916,23.146,26.57,0.013,0.009,4720.0,1288.0,1.0
"mu[10288, 2]",49.262,1.214,47.003,51.462,0.02,0.014,3754.0,1406.0,1.0
"mu[10289, 0]",6.254,0.078,6.111,6.409,0.001,0.001,4440.0,1402.0,1.0
"mu[10289, 1]",23.431,0.91,21.686,25.118,0.014,0.01,4274.0,1514.0,1.0
"mu[10289, 2]",48.759,1.198,46.392,50.866,0.019,0.013,4004.0,1383.0,1.0
"mu[10290, 0]",6.322,0.08,6.163,6.463,0.001,0.001,4280.0,1605.0,1.0
"mu[10290, 1]",24.454,0.893,22.822,26.149,0.012,0.009,5350.0,1460.0,1.0
"mu[10290, 2]",43.851,1.088,41.883,45.881,0.021,0.015,2798.0,1327.0,1.0
"mu[10291, 0]",6.416,0.081,6.262,6.565,0.001,0.001,3877.0,1578.0,1.0
"mu[10291, 1]",22.336,0.886,20.68,24.031,0.012,0.009,5040.0,1529.0,1.0
"mu[10291, 2]",45.872,1.18,43.543,47.947,0.021,0.015,3152.0,1335.0,1.0
"mu[10292, 0]",6.438,0.08,6.29,6.593,0.001,0.001,4177.0,1503.0,1.0
"mu[10292, 1]",23.743,0.894,22.157,25.437,0.012,0.009,5250.0,1580.0,1.0
"mu[10292, 2]",49.11,1.196,46.884,51.303,0.021,0.015,3288.0,1128.0,1.0
"mu[10293, 0]",6.469,0.081,6.323,6.63,0.001,0.001,4233.0,1553.0,1.0
"mu[10293, 1]",23.519,0.88,21.879,25.127,0.012,0.009,5035.0,1583.0,1.0
"mu[10293, 2]",48.21,1.18,46.051,50.412,0.021,0.015,3129.0,1644.0,1.0
"mu[10294, 0]",6.285,0.08,6.129,6.43,0.001,0.001,4065.0,1478.0,1.0
"mu[10294, 1]",22.267,0.892,20.568,23.904,0.012,0.009,5408.0,1696.0,1.0
"mu[10294, 2]",47.968,1.169,45.571,49.882,0.021,0.015,3293.0,1607.0,1.0
"mu[10295, 0]",6.029,0.076,5.893,6.181,0.001,0.001,3638.0,1314.0,1.0
"mu[10295, 1]",25.162,0.9,23.47,26.776,0.015,0.011,3823.0,1323.0,1.0
"mu[10295, 2]",43.846,1.103,41.663,45.859,0.017,0.012,3939.0,1522.0,1.0
"mu[10296, 0]",6.123,0.077,5.989,6.275,0.001,0.001,3322.0,1377.0,1.0
"mu[10296, 1]",23.044,0.906,21.501,24.892,0.015,0.011,3837.0,1340.0,1.0
"mu[10296, 2]",45.867,1.187,43.699,47.972,0.017,0.012,4806.0,1592.0,1.0
"mu[10297, 0]",6.145,0.077,6.006,6.295,0.001,0.001,3405.0,1218.0,1.0
"mu[10297, 1]",24.451,0.906,22.774,26.077,0.015,0.011,3637.0,1619.0,1.0
"mu[10297, 2]",49.105,1.208,46.809,51.235,0.019,0.013,4069.0,1290.0,1.0
"mu[10298, 0]",6.176,0.077,6.037,6.327,0.001,0.001,3244.0,1242.0,1.0
"mu[10298, 1]",24.227,0.911,22.536,25.925,0.015,0.011,3714.0,1423.0,1.0
"mu[10298, 2]",48.205,1.178,45.974,50.342,0.018,0.013,4043.0,1428.0,1.0
"mu[10299, 0]",5.992,0.077,5.858,6.144,0.001,0.001,3580.0,1382.0,1.0
"mu[10299, 1]",22.975,0.909,21.324,24.712,0.015,0.011,3614.0,1372.0,1.0
"mu[10299, 2]",47.964,1.178,45.763,50.141,0.018,0.013,4096.0,1323.0,1.0
"mu[10300, 0]",5.584,0.08,5.429,5.723,0.001,0.001,3965.0,1520.0,1.0
"mu[10300, 1]",24.329,0.919,22.582,26.054,0.013,0.009,5481.0,1376.0,1.01
"mu[10300, 2]",45.216,1.078,43.236,47.197,0.016,0.011,4545.0,1543.0,1.0
"mu[10301, 0]",5.677,0.081,5.533,5.832,0.001,0.001,3095.0,1357.0,1.0
"mu[10301, 1]",21.966,0.924,20.278,23.769,0.013,0.009,5265.0,1426.0,1.0
"mu[10301, 2]",47.718,1.173,45.64,50.053,0.018,0.013,4398.0,1368.0,1.0
"mu[10302, 0]",5.709,0.081,5.562,5.863,0.001,0.001,3338.0,1486.0,1.0
"mu[10302, 1]",23.374,0.927,21.709,25.135,0.013,0.009,5001.0,1502.0,1.0
"mu[10302, 2]",50.856,1.132,48.779,53.039,0.017,0.012,4278.0,1389.0,1.0
"mu[10303, 0]",5.736,0.08,5.585,5.882,0.001,0.001,3588.0,1276.0,1.0
"mu[10303, 1]",23.118,0.932,21.286,24.733,0.013,0.009,5005.0,1532.0,1.0
"mu[10303, 2]",50.082,1.175,47.844,52.324,0.018,0.012,4410.0,1468.0,1.0
"mu[10304, 0]",5.57,0.08,5.421,5.716,0.001,0.001,3844.0,1190.0,1.0
"mu[10304, 1]",21.719,0.925,20.085,23.54,0.013,0.009,5238.0,1489.0,1.0
"mu[10304, 2]",49.197,1.16,47.095,51.432,0.017,0.012,4834.0,1692.0,1.01
"mu[10305, 0]",7.289,0.079,7.13,7.421,0.001,0.001,2959.0,1725.0,1.0
"mu[10305, 1]",26.679,0.884,24.981,28.29,0.011,0.008,6006.0,1454.0,1.0
"mu[10305, 2]",44.363,1.094,42.253,46.333,0.017,0.012,4390.0,1350.0,1.0
"mu[10306, 0]",7.391,0.079,7.241,7.533,0.001,0.001,3019.0,1581.0,1.0
"mu[10306, 1]",23.765,0.891,22.046,25.383,0.011,0.008,6093.0,1342.0,1.0
"mu[10306, 2]",46.691,1.202,44.572,49.083,0.018,0.013,4463.0,1293.0,1.0
"mu[10307, 0]",7.416,0.079,7.27,7.56,0.002,0.001,2673.0,1590.0,1.0
"mu[10307, 1]",25.322,0.878,23.709,26.976,0.012,0.008,5730.0,1361.0,1.0
"mu[10307, 2]",49.927,1.138,47.917,52.125,0.017,0.012,4651.0,1762.0,1.0
"mu[10308, 0]",7.445,0.08,7.293,7.588,0.002,0.001,2808.0,1572.0,1.0
"mu[10308, 1]",25.047,0.884,23.335,26.661,0.011,0.008,6031.0,1176.0,1.0
"mu[10308, 2]",48.976,1.18,46.711,51.168,0.019,0.014,3796.0,1408.0,1.0
"mu[10309, 0]",7.253,0.079,7.111,7.399,0.001,0.001,2818.0,1538.0,1.0
"mu[10309, 1]",23.73,0.886,22.02,25.392,0.012,0.008,5838.0,1327.0,1.0
"mu[10309, 2]",48.473,1.181,46.23,50.647,0.017,0.012,4692.0,1396.0,1.0
"mu[10310, 0]",6.079,0.078,5.944,6.233,0.001,0.001,3927.0,1613.0,1.0
"mu[10310, 1]",26.359,0.912,24.673,28.004,0.011,0.008,6602.0,1401.0,1.0
"mu[10310, 2]",45.052,1.093,43.152,47.313,0.016,0.011,4606.0,1688.0,1.0
"mu[10311, 0]",6.181,0.078,6.034,6.323,0.001,0.001,3951.0,1610.0,1.0
"mu[10311, 1]",23.445,0.91,21.624,25.005,0.011,0.008,6602.0,1349.0,1.0
"mu[10311, 2]",47.381,1.183,45.375,49.93,0.017,0.012,5004.0,1433.0,1.0
"mu[10312, 0]",6.206,0.078,6.062,6.352,0.001,0.001,4070.0,1464.0,1.0
"mu[10312, 1]",25.002,0.908,23.3,26.697,0.011,0.008,6602.0,1483.0,1.0
"mu[10312, 2]",50.617,1.222,48.45,53.033,0.018,0.013,4759.0,1634.0,1.0
"mu[10313, 0]",6.235,0.078,6.087,6.379,0.001,0.001,3850.0,1632.0,1.0
"mu[10313, 1]",24.727,0.904,23.203,26.549,0.011,0.008,6398.0,1280.0,1.0
"mu[10313, 2]",49.666,1.165,47.463,51.807,0.019,0.013,3920.0,1688.0,1.0
"mu[10314, 0]",6.043,0.078,5.896,6.182,0.001,0.001,4169.0,1757.0,1.0
"mu[10314, 1]",23.41,0.914,21.751,25.036,0.011,0.008,6602.0,1410.0,1.0
"mu[10314, 2]",49.163,1.183,47.011,51.409,0.017,0.012,4919.0,1784.0,1.0
"mu[10315, 0]",6.61,0.079,6.471,6.764,0.001,0.001,3995.0,1263.0,1.0
"mu[10315, 1]",22.825,0.901,21.13,24.46,0.013,0.009,4748.0,1228.0,1.0
"mu[10315, 2]",45.704,1.063,43.819,47.78,0.018,0.013,3278.0,1396.0,1.0
"mu[10316, 0]",6.671,0.08,6.527,6.824,0.001,0.001,4326.0,1370.0,1.0
"mu[10316, 1]",20.537,0.905,18.753,22.065,0.014,0.01,4303.0,1186.0,1.0
"mu[10316, 2]",47.995,1.147,45.794,50.09,0.018,0.012,4204.0,1863.0,1.0
"mu[10317, 0]",6.698,0.08,6.552,6.847,0.001,0.001,4100.0,1376.0,1.0
"mu[10317, 1]",21.876,0.906,20.042,23.435,0.014,0.01,4383.0,1286.0,1.0
"mu[10317, 2]",51.274,1.169,48.957,53.355,0.019,0.013,3928.0,1558.0,1.0
"mu[10318, 0]",6.726,0.08,6.578,6.879,0.001,0.001,4162.0,1452.0,1.0
"mu[10318, 1]",21.655,0.908,19.894,23.216,0.013,0.009,4616.0,1163.0,1.0
"mu[10318, 2]",50.467,1.204,48.437,52.887,0.019,0.014,3943.0,1463.0,1.0
"mu[10319, 0]",6.566,0.08,6.418,6.717,0.001,0.001,4159.0,1291.0,1.0
"mu[10319, 1]",20.413,0.904,18.849,22.211,0.014,0.01,4158.0,1221.0,1.0
"mu[10319, 2]",49.919,1.154,47.64,51.922,0.02,0.014,3269.0,1420.0,1.0
"mu[10320, 0]",5.953,0.08,5.807,6.111,0.001,0.001,3724.0,1469.0,1.0
"mu[10320, 1]",24.536,0.918,22.76,26.135,0.012,0.009,5672.0,1637.0,1.0
"mu[10320, 2]",44.944,1.055,43.068,46.969,0.018,0.013,3547.0,1659.0,1.0
"mu[10321, 0]",6.055,0.08,5.892,6.192,0.001,0.001,3993.0,1475.0,1.0
"mu[10321, 1]",21.622,0.925,19.941,23.423,0.012,0.008,5946.0,1527.0,1.0
"mu[10321, 2]",47.273,1.121,45.155,49.326,0.018,0.013,3712.0,1737.0,1.0
"mu[10322, 0]",6.08,0.08,5.928,6.232,0.001,0.001,4067.0,1394.0,1.0
"mu[10322, 1]",23.18,0.93,21.52,24.944,0.012,0.009,5801.0,1614.0,1.01
"mu[10322, 2]",50.509,1.151,48.254,52.545,0.017,0.012,4347.0,1576.0,1.0
"mu[10323, 0]",6.109,0.08,5.954,6.257,0.001,0.001,3873.0,1450.0,1.0
"mu[10323, 1]",22.904,0.928,21.151,24.582,0.012,0.009,5649.0,1542.0,1.0
"mu[10323, 2]",49.558,1.133,47.284,51.551,0.02,0.014,3173.0,1633.0,1.0
"mu[10324, 0]",5.918,0.08,5.758,6.06,0.001,0.001,3913.0,1350.0,1.0
"mu[10324, 1]",21.587,0.923,19.822,23.259,0.012,0.008,6075.0,1566.0,1.0
"mu[10324, 2]",49.055,1.128,46.919,51.214,0.019,0.013,3619.0,1603.0,1.0
"mu[10325, 0]",3.58,0.081,3.433,3.726,0.002,0.001,2241.0,1476.0,1.0
"mu[10325, 1]",23.81,0.912,22.126,25.506,0.013,0.009,5094.0,1469.0,1.0
"mu[10325, 2]",47.182,1.073,45.271,49.245,0.017,0.012,3885.0,1577.0,1.0
"mu[10326, 0]",3.645,0.081,3.502,3.791,0.002,0.001,2604.0,1371.0,1.0
"mu[10326, 1]",22.276,0.913,20.523,23.892,0.013,0.009,4907.0,1359.0,1.0
